emg faktanya ini mah.sosok yg ini lbih mampu membuat perubhan utk ibu kota https:\/\/t.co\/hdxvudyw9v","display_text_range":[0,74],"source":"\u003ca href=\"http:\/\/twitter.com\/download\/android\" rel=\"nofollow\"\u003etwitter for android\u003c\/a\u003e","truncated":false,"in_reply_to_status_id":null,"in_reply_to_status_id_str":null,"in_reply_to_user_id":null,"in_reply_to_user_id_str":null,"in_reply_to_screen_name":null,"user":{"id":1354674337,"id_str":"1354674337","name":"muhammad b 4min","screen_name":"aminbroken1","location":"pontianak\/jakarta\/tangerang ","url":null,"description":"tugas saya menikmati apa yg hrus dinikmati,setelah berjuang mendapatkannya.","protected":false,"verified":false,"followers_count":121,"friends_count":1147,"listed_count":0,"favourites_count":56,"statuses_count":978,"created_at":"mon apr 15 15:48:48 +0000 2013","utc_offset":null,"time_zone":null,"geo_enabled":true,"lang":"id","contributors_enabled":false,"is_translator":false,"profile_background_color":"c0deed","profile_background_image_url":"http:\/\/abs.twimg.com\/images\/themes\/theme1\/bg.png","profile_background_image_url_https":"https:\/\/abs.twimg.com\/images\/themes\/theme1\/bg.png","profile_background_tile":false,"profile_link_color":"1da1f2","profile_sidebar_border_color":"c0deed","profile_sidebar_fill_color":"ddeef6","profile_text_color":"333333","profile_use_background_image":true,"profile_image_url":"http:\/\/pbs.twimg.com\/profile_images\/805323067559817216\/c96fu3a6_normal.jpg","profile_image_url_https":"https:\/\/pbs.twimg.com\/profile_images\/805323067559817216\/c96fu3a6_normal.jpg","profile_banner_url":"https:\/\/pbs.twimg.com\/profile_banners\/1354674337\/1377770559","default_profile":true,"default_profile_image":false,"following":null,"follow_request_sent":null,"notifications":null},"geo":null,"coordinates":null,"place":{"id":"c61688986c3842ec","url":"https:\/\/api.twitter.com\/1.1\/geo\/id\/c61688986c3842ec.json","place_type":"admin","name":"tangerang","full_name":"tangerang, banten","country_code":"id","country":"indonesia","bounding_box":{"type":"polygon","coordinates":[[[106.349414,-6.349517],[106.349414,-6.007954],[106.727679,-6.007954],[106.727679,-6.349517]]]},"attributes":{}},"contributors":null,"quoted_status_id":810423691989291008,"quoted_status_id_str":"810423691989291008","quoted_status":{"created_at":"sun dec 18 09:57:19 +0000 2016","id":810423691989291008,"id_str":"810423691989291008";;;;
rt @dennyja_world: saya melihat data lsi soal pilkada dki yang mengejutkan (survei okt 2016): ahok potensial kalah!;;;;
rt @zarazettirazr: breaking news survey pilgub dki update\n*ahok-djarot 99%\n*agus-silvy 0,5%\n*anies-sandiaga 0,1%\nsurvey dilakukan di beijin\u2026;;;;
ahok sdh disidang di pengadilan, tjahyo #mendagri, kumolo masih menanya status ahok ke pengadilan makin terlihat tuh begonya. ahok terdakwa;;;;
rt @jalu_jazz: pendukung ahok yg agamanya islam, ternyata mikirnya \"halalkan segala cara\" parah lu....!!!! https:\/\/t.co\/awdoqbgssq;;;;
kotak adja: dalam kasus ahok, tak ada proses peringatan, langsung ke proses pidana https:\/\/t.co\/0hpyuzaszh;;;;
rt @farhatabbaslow: hindari perdebatan asyik serang ahok,gak punya program aja blg lah. \ud83d\ude02\ud83d\ude02\ud83d\ude02 https:\/\/t.co\/dhf9mgdrei;;;;
rt @bamburuncing212: \ud83d\ude04\ud83d\ude06\ud83d\ude05\ud83d\ude02\ud83d\ude04\ud83d\ude05\ud83d\ude06\nsemakin hari makin ketauan kalo ahokers &amp; djaroters adalah sekumpulan pendusta, bahkan ulama pun mereka tip\u2026 ;;;
rt @darwistriadi: bincang dgn ahok, saya kagum dgn sosok ini.. jakarta butuh beliau @temanahok  @basuki_btp https:\/\/t.co\/u2xavhvrqm;;;;
rt @mitowantiase: @balqiskejora @basuki_btp sy muslim dan anggap ahok tdk salah, cuma difitnah buni yani;;;;
